% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2023
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2023 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2023, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
197809	 -0.00570674	 -0.01203227	 -0.02730711	
197810	 -0.10828928	 -0.10112881	  0.04280582	
197811	 -0.07491575	 -0.03138026	 -0.03162120	
197812	 -0.03422058	  0.03485781	  0.00199465	
197901	 -0.01441439	  0.02336990	 -0.01029938	
197902	 -0.03296427	  0.00704158	 -0.02811765	
197903	 -0.04381288	  0.02120265	 -0.00695441	
197904	  0.00478602	  0.05418626	  0.01849867	
197905	 -0.08102735	 -0.04714965	 -0.02188811	
197906	 -0.01188102	  0.02334622	 -0.01669465	
197907	  0.02263794	  0.06015749	 -0.01719865	
197908	  0.01305124	  0.03619616	  0.01475767	
197909	 -0.07426784	 -0.06311289	 -0.00978073	
197910	 -0.15447257	 -0.10346842	 -0.00030052	
197911	 -0.03883258	  0.00646773	 -0.06750272	
197912	 -0.00920058	  0.02346051	 -0.01807817	
198001	 -0.05958447	 -0.01965000	  0.00013109	
198002	 -0.09784091	 -0.04287413	  0.02114945	
198003	 -0.14193797	 -0.08765149	  0.02794556	
198004	 -0.05117316	 -0.03126941	 -0.01240179	
198005	  0.03284126	  0.07777080	 -0.00782060	
198006	 -0.01566887	  0.00194068	  0.01010759	
198007	 -0.03519602	 -0.01617692	 -0.00569326	
198008	  0.00723605	  0.05266263	  0.01373905	
198009	 -0.04758752	 -0.01785540	  0.00919783	
198010	 -0.01239088	  0.03535165	  0.02758604	
198011	 -0.02423485	  0.00232816	  0.03062221	
198012	 -0.05639616	 -0.01327018	  0.02748807	
198101	 -0.02295500	  0.00342060	  0.03893398	
198102	 -0.00758953	  0.00034249	  0.00211983	
198103	 -0.02136465	  0.01374299	  0.01393817	
198104	 -0.02810852	  0.01004741	 -0.01912218	
198105	  0.00737341	  0.02848178	 -0.02798762	
198106	  0.00168118	  0.03064747	  0.06094841	
198107	 -0.01763500	  0.01109223	 -0.01241394	
198108	 -0.07670137	 -0.04363144	 -0.00142182	
198109	 -0.15284444	 -0.12054939	  0.09223195	
198110	 -0.04551135	 -0.00273176	 -0.02465792	
198111	 -0.03161579	 -0.01471995	  0.06060739	
198112	 -0.02358720	  0.02675230	  0.00907384	
198201	 -0.06997584	 -0.05910923	 -0.01978417	
198202	 -0.12230555	 -0.08144140	 -0.01144574	
198203	 -0.03094867	  0.00851825	  0.04354018	
198204	  0.00482292	  0.04279473	 -0.02399156	
198205	 -0.00252187	 -0.00817016	  0.02935751	
198206	 -0.01252549	  0.02103224	  0.04970968	
198207	  0.01259311	  0.01760311	 -0.01586295	
198208	 -0.05756179	 -0.03623635	 -0.00509109	
198209	 -0.02623568	  0.02473437	  0.04186289	
198210	 -0.04193409	 -0.00711896	 -0.03783243	
198211	 -0.00449950	  0.02790299	  0.01049033	
198212	  0.00074378	  0.02910216	 -0.03135686	
198301	 -0.02964785	  0.00189792	 -0.05475749	
198302	  0.00812041	  0.03929395	 -0.03120860	
198303	 -0.04766193	 -0.02657642	  0.04017853	
198304	 -0.00471343	  0.02548735	  0.03559141	
198305	 -0.07871142	 -0.04699125	  0.01816680	
198306	 -0.00339973	  0.04808618	  0.00092081	
198307	 -0.04793408	 -0.02564099	  0.04384996	
198308	 -0.04234025	 -0.00988485	  0.04344734	
198309	 -0.02372007	  0.02553119	  0.01391928	
198310	  0.03439859	  0.05993687	  0.05772609	
198311	  0.01370172	  0.05020122	 -0.07196858	
